"event_name,""attraction"",""attraction_segment"",""attraction_genre"",""attraction_subgenre"""
"The Rills - Don't Be A Stranger Tour 2025,""The Rills"",""Music"",""Rock"",""Indie Rock"""
"Joost Klein: Europapa Tour (2025),""Joost"",""Music"",""Undefined"",""Undefined"""
"EQUITANA 2025 - Pat Parelli LIVE,""Equitana"",""Miscellaneous"",""Fairs & Festivals"",""Fairs & Festivals"""
"FLO - Access All Areas Tour,""FLO"",""Music"",""R&B"",""R&B"""
"Oliver Malcolm,""Oliver Malcolm"",""Music"",""Rock"",""Pop"""
"Wincent Weiss | Premium-Package,""Wincent Weiss"",""Music"",""Pop"",""Pop"""
"Loreen - Europe 2025,""Loreen"",""Music"",""Pop"",""Pop"""
"Imagine Dragons: LOOM World Tour,""Imagine Dragons"",""Music"",""Rock"",""Pop"""
"Loreen - Europe 2025 | VIP SOUNDCHECK & Q&A EXPERIENCE,""Loreen"",""Music"",""Pop"",""Pop"""
"SC Fortuna Köln vs. SV Eintracht Hohkeppel | Pokal,""SC Fortuna Köln"",""Sports"",""Soccer"",""Soccer"""
"EQUITANA 2025 - Pat Parelli LIVE | VIP Table,""Equitana"",""Miscellaneous"",""Fairs & Festivals"",""Fairs & Festivals"""
"Wincent Weiss | Logen-Package,""Wincent Weiss"",""Music"",""Pop"",""Pop"""
"The Rills - Don't Be A Stranger Tour,""The Rills"",""Music"",""Rock"",""Indie Rock"""
"Amble - World Tour 2025,""Amble"",""Music"",""Folk"",""Irish Folk"""
"FLO - Access All Areas Tour,""Lola Moxom"",""Music"",""Jazz"",""Jazz"""
"Imagine Dragons: LOOM World Tour | Business Seat Package,""Imagine Dragons"",""Music"",""Rock"",""Pop"""
"Orange Blossom - En Concert,""Orange Blossom"",""Music"",""Dance/Electronic"",""World Dance"""
"The Music of Harry Potter – Live in Concert,""Harry Potter Live In Concert"",""Music"",""Undefined"",""Undefined"""
